_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
schadfr01,"January 22, 1950","Wausau, Wisconsin",1.1,28.6,,100,9,5.8,1.1,0.7,0,,University of Wisconsin-Eau Claire,53rd overall,4th round,Kansas City-Omaha Kings,1972,06-Jan,"Wausau in Wausau, Wisconsin",Frank Schade,Point Guard,Right,170lb
dickedi01,"October 26, 1926","Grant County, Indiana",1.1,29.4,,68.1,45,9.6,2.8,1.8,0.3,,North Carolina State University,1950 NBA Draft,3rd roun,Baltimore Bullets,,06-Jan,"Pendleton in Pendleton, Indiana",Dick Dickey,Point Guard,Right,175lb
lynamrb01,,,0,29.4,0,87.5,7,-0.2,2.4,0.7,0,29.4,Oklahoma Baptist University,95th overall,11th round,Cincinnati Royals,1966,06-Jan,"Shawnee in Shawnee, Oklahoma",R.B. Lynam,Guard,Right,190lb
farbmph01,"April 3, 1924","Brooklyn, New York",0.8,30.7,,67.9,48,,3.2,,1.4,,City College of New York,,,,,06-Jan,,Phil Farbman,Forward,Right,185lb
fordal01,"October 31, 1971","Greenwood, Mississippi",0.9,30.8,10,50,11,4.4,3.2,1.8,-0.4,31.7,Mississippi Valley State University,32nd overall,2nd round,Philadelphia 76ers,1993,06-Jan,"Amanda Elzy in Greenwood, Mississippi",Alphonso Ford,Shooting Guard and Point Guard,Right,190lb
tidriha01,"August 4, 1915",Ohio,1.7,31.5,,80,61,,9,,2.5,,Washington & Jefferson College,,,,,06-Jan,,Hal Tidrick,Forward/Guard,Right,190lb
toshebi01,"June 2, 1926","Gary, Indiana",3.3,31.5,,79.3,203,11.2,9.2,3,5.2,,Indiana University,32nd overall,4th round,Indianapolis Olympians,1951,06-Jan,"Froebel in Gary, Indiana",Bill Tosheff,Point Guard,Right,175lb
crossch01,"July 4, 1923","Luzerne, Pennsylvania",1.5,31.8,,71.1,147,,4.7,,3.7,,University of Pennsylvania,6th overall,1st round,Philadelphia Warriors,1947,06-Jan,"Luzerne in Luzerne, Pennsylvania",Chink Crossin,Guard,Right,165lb
mcgahme01,"September 26, 1926","Bastrop, Louisiana",1,31.8,,59.1,51,,3.5,,1.5,,University of Arkansas,,1948 BAA Draf,New York Knicks,,06-Jan,"Mabelville in Mabelville, Arkansas",Mel McGaha,Guard,Right,190lb
rhodege01,"September 2, 1927",,1.4,31.9,,70.4,65,11.2,5.2,1.5,0.9,,Western Kentucky University,,1952 NBA Draf,Indianapolis Olympians,,06-Jan,"Male in Louisville, Kentucky",Gene Rhodes,Shooting Guard,Right,170lb
waltode01,"April 3, 1995","Detroit, Michigan",1,32,41.2,100,16,11.2,1.8,1,0.4,46,University of Michigan,,,,,06-Jan,"Chandler Park Academy in Harper Woods, Michigan",Derrick Walton,Point Guard,Right,189lb
dardeji01,"June 19, 1922","Cheyenne, Wyoming",2.6,32.1,,68.8,26,,8.1,,-0.2,,University of Denver,,1947 BAA Draf,Chicago Stags,,06-Jan,"Cheyenne in Cheyenne, Wyoming",Jimmy Darden,Guard,Right,170lb
haleha01,"September 21, 1945",,2,32.6,31.3,67.4,72,5.6,5,2.9,1,36.9,Utah State University,,,,,06-Jan,,Hal Hale,Point Guard,Right,180lb
magetjo01,"November 28, 1989","Birmingham, Alabama",3.2,32.6,36.4,100,18,11.9,2.6,1.1,0.4,41.3,Alabama - Huntsville,,,,,06-Jan,"Spain Park in Hoover, Alabama",Josh Magette,Point Guard,Left,160lb
sundedo01,"December 20, 1929","Roselle, Illinois",2,32.6,,73.2,113,11.5,7.7,2.5,2.7,,University of Illinois at Urbana-Champaign,9th overall,1st round,Philadelphia Warriors,1951,06-Jan,"Elgin in Elgin, Illinois",Don Sunderlage,Shooting Guard,Right,180lb
finnda01,"May 29, 1928",,4,32.7,,59.9,142,12.9,7.3,3.9,1,,St. John's University,,,,,06-Jan,,Danny Finn,Shooting Guard and Point Guard,Right,185lb
niemiri01,"May 26, 1921","Chicago, Illinois",1.8,33,,77.6,115,,6,,7.6,,University of Notre Dame,,,,,06-Jan,"De La Salle Institute in Chicago, Illinois",Richie Niemiera,Guard/Forward,Right,165lb
huttojo01,"October 6, 1928",,1,33.1,,69,120,8,2.5,1.6,2.2,,Hamline University,1950 NBA Draft,7th roun,Minneapolis Lakers,,06-Jan,,Joe Hutton,Shooting Guard,Right,170lb
cookom01,"January 28, 1982","Brooklyn, New York",2.1,33.3,0,50,22,9,1.7,0.6,-0.1,33.3,St. John's University,32nd overall,2nd round,Orlando Magic,2001,06-Jan,"Christ the King in Middle Village, New York",Omar Cook,Point Guard,Right,190lb
halebr01,"August 30, 1918","Medford, Oregon",3,33.3,,76.3,142,,9.1,1.9,9.2,,Santa Clara University,,,,,06-Jan,"Galileo in San Francisco, California",Bruce Hale,Guard/Forward,Right,170lb
jenkiho01,"October 14, 1974","Elizabeth, New Jersey",0.6,33.3,0,92.3,15,10.2,2.8,0.6,0,33.3,William Paterson University,,,,,06-Jan,"Elizabeth in Elizabeth, New Jersey",Horace Jenkins,Point Guard,Right,180lb
kelleke01,"August 16, 1922","Brooklyn, New York",0,33.3,,40,28,,0.8,,0.4,,St. John's University,,,,,06-Jan,"Bishop Loughlin in Brooklyn, New York",Ken Keller,Guard,Right,180lb
milesaa01,"April 13, 1983","Portland, Oregon",1.3,33.3,,100,19,6,0.8,0.7,0,33.3,University of Kansas,,,,,06-Jan,"Jefferson in Portland, Oregon",Aaron Miles,Point Guard,Right,175lb
ranzisa01,"June 23, 1928","Gary, Indiana",0.6,33.3,,70.3,39,9.5,2.2,1,0.2,,North Carolina State University,8th overall,1st round,Rochester Royals,1951,06-Jan,"Emerson in Gary, Indiana",Sam Ranzino,Shooting Guard,Right,185lb
thompja01,"March 26, 1946","New York, New York",1,33.3,0,,2,5,1,0.5,0,33.3,University of South Carolina,33rd overall,3rd round,Baltimore Bullets,1968,06-Jan,,Jack Thompson,Guard,Right,185lb
hairsal01,"December 11, 1945",,1,33.6,,60,42,7.2,2.2,1,-0.5,,Bowling Green State University,52nd overall,5th round,Seattle SuperSonics,1968,06-Jan,"Mount Clemens in Mount Clemens, Michigan",Al Hairston,Shooting Guard,Right,170lb
mcmahja01,"December 3, 1928",,3.7,33.7,,63.7,524,9.5,8.1,2.7,6.2,,St. John's University,,1952 NBA Draf,Rochester Royals,,06-Jan,"Saint Michael's in Brooklyn, New York",Jack McMahon,Shooting Guard and Point Guard,Right,185lb
stanced01,"August 15, 1921",,1,33.8,,75.9,76,,7.6,1.9,6.4,,,,,,,06-Jan,"Central Catholic in Fort Wayne, Indiana",Ed Stanczak,Forward,Right,185lb
brianfr01,"May 1, 1923","Zachary, Louisiana",2.6,34,,82.1,438,13.9,12.3,2.4,30.1,,Louisiana State University,,,,,06-Jan,"Zachary in Zachary, Louisiana",Frankie Brian,Shooting Guard and Point Guard,Right,180lb
duckedi01,"March 25, 1933",,1.4,34.2,,88.9,34,8,3.9,1.6,0.2,,St. John's University,9th overall,2nd round,Cincinnati Royals,1957,06-Jan,"Saint Francis Preparatory School in Brooklyn, New York",Dick Duckett,Point Guard,Right,185lb
thearfl01,"September 5, 1944",,1.8,34.5,0,64.3,25,2.3,3.8,2,0,34.5,Kentucky State University,,,,,06-Jan,,Floyd Theard,Point Guard,Right,170lb
hillcl01,"May 24, 1938","Newark, New Jersey",2,34.6,,77.4,58,9.1,5.5,3.1,0.3,,Winston-Salem State University,8th overall,1st round,St. Louis Hawks,1961,06-Jan,"South Side in Newark, New Jersey",Cleo Hill,Shooting Guard,Right,185lb
smawlbe01,"March 20, 1918","Golden Valley, North Carolina",2.3,34.7,,79.7,261,3.1,12.7,2.8,22.9,,Appalachian State University,,,,,06-Jan,"Ellenboro in Ellenboro, North Carolina",Belus Smawley,Shooting Guard,Right,195lb
calabge01,"February 4, 1925","Hoboken, New Jersey",1.4,34.8,,70.2,104,9.4,4.7,1.4,1.9,,St. John's University,1950 NBA Draft,2nd roun,Syracuse Nationals,,06-Jan,"Cliffside Park in Cliffside Park, New Jersey",Gerry Calabrese,Shooting Guard,Right,175lb
seymopa01,"January 30, 1928","Toledo, Ohio",3.8,35,,79.2,622,13.8,9.4,3.1,37.5,,University of Toledo,,,,,06-Jan,"Woodward in Toledo, Ohio",Paul Seymour,Point Guard and Shooting Guard,Right,180lb
harribo02,"August 12, 1927",,2.7,35.2,,69.3,615,7.1,7.2,2.5,13.2,,University of Michigan,,1949 BAA Draf,Minneapolis Lakers,,06-Jan,"Woodward in Toledo, Ohio",Bob Harrison,Point Guard and Shooting Guard,Right,190lb
odonnan01,"March 10, 1925",,0.7,35.2,,77.8,25,,3.6,,0.3,,Loyola College in Maryland,,,,,06-Jan,"St. Anne's in Hazleton, Pennsylvania",Andy O'Donnell,Guard,Right,180lb
mccarjo01,"April 25, 1934",,3.7,35.3,,62.2,316,8.8,7.8,3.6,4.7,,Canisius College,,1956 NBA Draf,Rochester Royals,,06-Jan,"Bishop Timon in Buffalo, New York",Johnny McCarthy,Point Guard and Shooting Guard,Right,185lb
zelleda01,"June 8, 1939",,1,35.3,,75,61,9.1,1.5,0.4,-0.1,,Miami University,61st overall,7th round,Cincinnati Royals,1961,06-Jan,"Tecumseh in New Carlisle, Ohio",Dave Zeller,Point Guard,Right,175lb
selvale01,"March 7, 1943","St. Louis, Missouri",3.1,35.4,31.6,74.1,82,10.6,13.5,2.7,2.3,42.4,Truman State University,,,,,06-Jan,"Beaumont in St. Louis, Missouri",Lester Selvage,Point Guard,Right,175lb
barkler01,"February 21, 1978","Queens, New York",1.5,35.6,26.7,90,27,9.9,2.9,0.8,0.2,37.8,St. John's University,28th overall,1st round,Portland Trail Blazers,2000,06-Jan,"Maine Central Institute in Pittsfield, Maine",Erick Barkley,Point Guard,Right,177lb
grimswo01,"September 24, 1919",United Kingdom,0,35.7,,47.7,21,,2.9,,0.6,,Brown University,,,,,06-Jan,"Dean Academy in Franklin, Massachusetts",Woody Grimshaw,Guard,Right,185lb
kingfr01,"June 6, 1972","Baxley, Georgia",0.5,35.7,33.3,75,13,11.4,2.1,1.2,0,37.5,Western Carolina University,37th overall,2nd round,Los Angeles Lakers,1995,06-Jan,"Appling County in Baxley, Georgia",Frankie King,Shooting Guard and Point Guard,Right,185lb
vonniwh01,"June 19, 1922","Ephrata, Pennsylvania",2.4,35.7,,63.5,59,,5.3,,2.3,,Pennsylvania State University,,,,,06-Jan,"Ephrata in Ephrata, Pennsylvania",Whitey Von Nieda,Guard/Forward,Right,170lb
zopfbi01,"June 7, 1948",,1.4,36.3,,55.6,53,9.6,2.2,0.9,-0.1,,Duquesne University,33rd overall,2nd round,Milwaukee Bucks,1970,06-Jan,"Monaca in Monaca, Pennsylvania",Bill Zopf,Point Guard,Right,170lb
ohanlfr01,"August 24, 1948","Philadelphia, Pennsylvania",0.9,36.4,0,66.7,14,-5.2,1.6,0.3,0,36.4,Villanova University,131st overall,8th round,Philadelphia 76ers,1970,06-Jan,"Saint Thomas More in Philadelphia, Pennsylvania",Fran O'Hanlon,Guard,Right,175lb
grayga01,"February 23, 1945",,0.6,36.6,,70,44,5.4,2.4,0.5,-0.5,,Oklahoma City University,26th overall,3rd round,Cincinnati Royals,1967,06-Jan,"Fort Cobb in Fort Cobb, Oklahoma",Gary Gray,Shooting Guard,Right,185lb
lumppra01,"July 11, 1923","Brooklyn, New York",2.2,36.6,,76.7,300,12.6,8.2,2.2,15.5,,New York University,,1948 BAA Draf,Indianapolis Jets,,06-Jan,"Newtown in Elmhurst, New York",Ray Lumpp,Shooting Guard and Point Guard,Left,178lb
thigpju01,"August 13, 1947",,0.5,36.7,,33.3,22,5.1,2.7,0.8,-0.3,36.7,Weber State University,147th overall,11th round,San Diego Rockets,1969,06-Jan,"Northern HS in Flint, Michigan",Justus Thigpen,Shooting Guard,Right,160lb
rogerma01,"August 27, 1953","St. Louis, Missouri",0.4,37.1,,93.3,26,9.8,3.8,0.4,-0.2,,University of Texas-Pan American,34th overall,2nd round,Golden State Warriors,1976,06-Jan,"Sumner in St. Louis, Missouri",Marshall Rogers,Point Guard,Right,190lb
fosteja01,"December 16, 1951","Jersey City, New Jersey",2.1,37.3,7.1,67.3,89,5.3,3.7,1.3,-1.4,37.4,University of Connecticut,57th overall,4th round,Cleveland Cavaliers,1974,06-Jan,,Jimmy Foster,Point Guard,Right,175lb
jarviji01,"March 3, 1943","Roseburg, Oregon",1.2,37.4,32.6,80.3,125,10.2,5.8,1.9,0.9,39.5,Oregon State University,45th overall,6th round,San Francisco Warriors,1965,06-Jan,"Roseburg in Roseburg, Oregon",Jim Jarvis,Point Guard,Right,175lb
cousybo01,"August 9, 1928","New York, New York",7.5,37.5,,80.3,924,19.8,18.4,5.2,91.1,,College of the Holy Cross,3rd overall,1st round,Tri-Cities Blackhawks,1950,06-Jan,"Andrew Jackson in Cambria Heights, New York",Bob Cousy,Point Guard,Right,175lb
congdje01,"October 17, 1943","Elkhorn, Wisconsin",3.3,37.7,28.5,79.9,306,8.6,6.5,2,6.3,40.2,Brigham Young University,32nd overall,4th round,Detroit Pistons,1966,06-Jan,"Bolsa Grande in Garden Grove, California",Jeffrey Congdon,Point Guard,Right,180lb
guytoaj01,"February 12, 1978","Peoria, Illinois",1.8,37.7,37.8,82.2,80,10.9,5.5,1,0.3,46,Indiana University,32nd overall,2nd round,Chicago Bulls,2000,06-Jan,"Central in Peoria, Illinois",A.J. Guyton,Point Guard,Right,180lb
daviebo01,"January 15, 1920","Harrisburg, Pennsylvania",4.9,37.8,,75.9,462,18,14.3,2.9,49.7,,Seton Hall University,,,,,06-Jan,"John Harris in Harrisburg, Pennsylvania",Bob Davies,Point Guard,Right,175lb
solomwi01,"July 20, 1978","Hartford, Connecticut",2,37.8,29.8,69.2,115,10.5,5.1,1.1,0,44.3,Clemson University,33rd overall,2nd round,Memphis Grizzlies,2001,06-Jan,"East Hartford in East Hartford, Connecticut",Will Solomon,Point Guard and Shooting Guard,Right,185lb
blanege01,"November 12, 1939","Jersey City, New Jersey",1.3,38,,52.9,36,7.8,3.3,1,-0.1,,College of the Holy Cross,33rd overall,4th round,New York Knicks,1961,06-Jan,"Saint Peter's Preparatory School in Jersey City, New Jersey",George Blaney,Point Guard,Right,175lb
roziete01,"March 17, 1994","Youngstown, Ohio",2.3,38,35.4,77.7,272,12.8,7.7,3.6,9.9,46.5,University of Louisville,16th overall,1st round,Boston Celtics,2015,06-Jan,"Hargrave Military Academy in Chatham, Virginia",Terry Rozier,Point Guard,Right,190lb
tylerbj01,"April 30, 1971","Galveston, Texas",3.2,38.1,31.4,70,55,8.5,3.5,1.1,-0.7,42.3,"DePaul University, University of Texas at Austin",20th overall,1st round,Philadelphia 76ers,1994,06-Jan,"Lincoln in Port Arthur, Texas",B.J. Tyler,Point Guard,Right,185lb
jamesmi02,"August 18, 1990","Portland, Oregon",3.5,38.3,26.5,76.2,36,13.9,9.3,2.5,0.2,42.4,Lamar University,,,,,06-Jan,"Grant in Portland, Oregon",Mike James,Point Guard,Right,189lb
simssc01,"April 18, 1955","Kirksville, Missouri",1.7,38.5,,66.7,12,5.2,2.5,1.1,-0.2,,University of Missouri,103rd overall,5th round,San Antonio Spurs,1977,06-Jan,,Scott Sims,Point Guard,Right,170lb
burksan01,"February 25, 1980","Memphis, Tennessee",1.3,38.7,23.5,57.1,81,7.2,2.3,0.6,0.1,39.7,University of Memphis,36th overall,2nd round,Orlando Magic,2004,06-Jan,"Booker T. Washington in Memphis, Tennessee",Antonio Burks,Point Guard,Right,200lb
jennibr01,"September 23, 1989","Compton, California",5.7,38.7,34.5,79.6,555,15.7,14.1,3,29.9,45.2,,10th overall,1st round,Milwaukee Bucks,2009,06-Jan,"Oak Hill Academy in Mouth of Wilson, Virginia",Brandon Jennings,Point Guard,Left,170lb
joneskc01,"May 25, 1932","Taylor, Texas",4.3,38.7,,64.7,676,10.4,7.4,3.5,38.6,,University of San Francisco,and Boston Celtics,1955 NBA Draf,Minneapolis Lakers,2nd ,06-Jan,"Commerce in San Francisco, California",K.C. Jones,Point Guard,Right,200lb
dienetr01,"March 1, 1982","Fond du Lac, Wisconsin",2.4,38.8,35.3,84.7,179,12.5,4.8,1.4,5.6,49.5,Marquette University,38th overall,2nd round,Orlando Magic,2005,06-Jan,"Goodrich in Fond du Lac, Wisconsin",Travis Diener,Point Guard,Right,175lb
komivho01,"May 9, 1941","Toledo, Ohio",4,38.8,,83,742,10.7,10.2,2.4,5,,Bowling Green State University,13th overall,2nd round,New York Knicks,1964,06-Jan,"Woodward in Toledo, Ohio",Howard Komives,Point Guard,Left,185lb
alexaco01,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,06-Jan,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb
vacenst01,"August 15, 1944","Scranton, Pennsylvania",2.3,39,20,75.4,83,11.4,9.9,2.9,1.8,39.1,Duke University,33rd overall,4th round,San Francisco Warriors,1966,06-Jan,,Stephen Vacendak,Point Guard,Right,185lb
